text_id,full_text,cohesion,syntax,vocabulary,phraseology,grammar,conventions
44E2726DA1B3,"your principal has decided all students must participate in at least one extracurricular activity. i agree because now days all kids do is stay home and be on there phones and do nothing. i know that because i used to do the same thing before and i didn't like to do anything at all but then i started playing a sport and it help a lot but i think that. participating in a extracurricular activity may help you by staying healthy, get you out of trouble,and get you in a good college.one example is staying healthy by playing a sport you can help prevent a lot of things like maintain a good weight, and keep you from getting sick. keeping a good weight is good for your health because it keeps you from getting other diseases,more than 1/4 of the people in the u.s. are obese. why not start at a young age and prevent from being sick and other things. another thing that can help is eating healthy, we can prevent sickness to in order to do that you might want to think about trying out a new sport.another example is getting you out of trouble you can avoid a lot of drama. i learned that social media can get you into a lot of trouble, half of the time a lot of the drama comes from social media. maybe if you join a club or a sports team you can think before doing something that can get you in trouble. one time my friend made the soccer team but she got in trouble so they kicked her off the team and she learned from her mistake and never got in trouble again. when in your in a cub or playing a sports half of the time you don't have time to be in drama get in trouble.last example is joining a club, working on the year book,serve in the student council and, playing a sport can get you into a good college now a days colleges are looking to see if you have participated in any sports or clubs. when i graduate high school i want to go to college and a study to be a general surgeon and participating in a sport or joining a club can help me get into a college. you meed new people when you join new clubs and make new friend ships. when you want to go into a club or in sports do something that you like not something your friends like or something that can help you in life with.in conclusion staying healthy,getting out of trouble,and going into a new college can help you when you participate in a extracurricular activity. staying healthy by playing a sports and eating healthy can prevent you from getting sick. staying out of trouble can avoid a lot of drama from school and social media think before you do something your going to regret . joining a club or participating in a sport can help you get into the college you want and you can meet new people and make new friend ships.",3.0,3.0,3.0,3.5,3.0,3.0
763EF698F56B,"well in this part i think is good and bad idea.i think is good because if they have any emergency in home they do not going to dismiss any classes they can take classes from home they have already tools do not needed to go outside they have everything in home, and the teacher they do not need to wake up early everyday, and also some family they are going to agree because now they do not are going to think every time how is my daughter or my son if they are safe or if they are in trouble.the bad things that if they going to give to all the students to take classes from only or video confederation some students they not going to do their work. in some others parts they do not have any internet or money to buy a computer they do not have opportunity that the others person have, also the teacher do not have any jobs they are going to need they works back, and some family they do not need to send to school to their sons because they do not have many or they want their son to work. is very different have the people think is hard to take decision.if they are old they can choose what they want, they have to think very careful if they said yes they want to take class form online , is going to be more easy from them because they do not have a job or they do not have to take care, they can do it they have a lot of time in the world if they do not have any computer thats is going to be a really good problem form them because they do not have school open or they do not have the materials they want for learn, they have to look for job but sometimes if your looking for a job they need to know how you was in school they need to see you record, you are going to need in the future.if you are going to say no because we need to learn something, we do not have any money to pay to go to school theirs so many ways to go to school their have school that are free you do not need to pay anything, just you need is go to school everyday, and do not get in trouble. is good idea if they do this in college for students they work they know, they have more responsibility.if you put a child with computer is going to be more concentrated in computer and maybe they going to have problems with their eyes or any problem when their grow up.if is a old is more easy from them because they brain is more they can understand and they do not have any issues to work in the computers.so is bad idea that they students take class form online they do not have any money or they do not work.",2.5,2.5,3.0,2.5,2.5,2.5
FABE0E966789,"dear, principalstudents may bring there phones to school but they could only use them while there in lunch or any free time. phones need to be turned off while in class or in the library if not they might get there phone taken away and they need to pick it up at the end of the day. student's phones must be in their backpacks or in their pockets during class.on, this policy by having phones at school the students should just leave their phones at home so it wont be taken by the teacher or so you wont loose it at school or other students wont have to rob you. so that's why students should really leave there phones at home. another thing why students should not bring their phones to school at all it might fall and brake when you walk or if your texting you might bump into each otheri believe that students really need to leave there phones at home because someone might call in the middle of class. or a friend might text you in the middle of class also so students leave your cell phones at home..",3.0,3.0,3.0,3.0,3.5,3.0
9E2E1FDE4D15,"dear mr principal,i think students are require to take community service because it helps them get organized. it also helps out the community to be more cleaner. for example doing community service helps kids stay out of trouble such as gangs, violence, and drugs. also it helps kids to be more disciplined, more respectful, more caring for our planet, more careful, more safe, and more mature. one example is that kids who do community service are more organize. community service is helpful to kids that get bored at home.sometimes people think that doing community service is just a waste of time because they don't want to do it or they think that it is just boring. but community service can show you new things. such as taking care for the elderly, taking care of the planet, respecting others, and helping others. one last thing about community service is that it makes our community look more better than others, and it helps our community to be better for the people that live in our community. those are my reasons on why our school should do community service.sincerely, student_name",3.0,3.0,3.5,3.5,3.5,3.0
558299F3D69E,dear principali think that we shouldn't have to do community service if we don't have to time to do it. say if we play sports we wouldn't have the time of day to it and if you make us do it on weekends kids might not show up or some might become upset with you. so i think you should let the kids pick or if they do it give the some extra credit . i play sports and i only have time to help on the weekends and sometimes i will be tried and many other kids who play sports might feel the same way as i do.but if you do pick to make kids do community service i will understand why it helps kids learn to help out other people besides your self and some kids can really learn from just helping a couple of people out. but its up to you there are some positives and negatives with this choice.i think we should take a vote to see how many kids would like to do community service and who wouldn't. if a lot of kids don't then let the kids who want to go out and help do it. for the kids who don't maybe they will change their minds if their friends tell them how fun it is because they still are hanging out even if they are helping people out while they are doing it. i wouldn't know which to pick for a while i would ask my friends if they do it to give me some positives and negatives on it. then i would try it and see if i like it and if i do i will keep going along with this act.so this is a hard choice for you to pick but i would just go by the vote of your students. plus maybe a lot of kids will choose to do community service and you wouldn't have to make everyone do it . since i wrote this paper i think i would vote to do community service and i think i would convince some more kids to go along with this just to see how it is. then i see they whole school would come along to do this .thank you for reading this letteryour student,3.0,3.0,3.5,3.0,3.5,3.0
91962F622C5A,"dear principal;i think that all students should do community.i think this because it help out our country. we will have less trash all over the streets. there will be more stuff we can put in the recycling bin instead of throwing it away we can renew it save on killing in trees that we killing in rainforest. animals in water will not die if we don't throw things in sewers. if we watch parents kids for them that will save time them. if we tutor little elementary kids that will help them improve their grades better in their classroom. we can go to the elderly hospital and help the workers with their jobs. the senior citizens might would like to talk to some young kids every once in a while.we should help some adults by cleaning up their store after their finally closed it down. you can also organize their items so they can run the cash register. you can cut the grass for the people in your neighborhood. you can also walk every adults dog for 30 minutes every day for a month. you can wash your mama car if she needs a break.you can watch your baby brother's or sister's for your mama while she goes out.those are my ways of doing community service.sincerely,student_name",3.0,3.0,3.0,3.0,3.0,3.0
B7EDCEA9137B,"dear principal,as a student of school_name, i disagree to have the new policy that students may not participate in sports or any other activities unless they have at least a b average grade. i disagree with this policy, because i think that many students work hard to get at least a b average, and maybe if the really love a sport and want to play in it then we should be fare and let them play. because then i think it wouldn't be fare if a student is just one or two points away from a b average and then not let them play, just because of one low grade or two points off. so then if there are only a little bit of students with a b average then there would be no teams or sports because all of the kids would not be eligible, also in the school activities there wouldn't be many kids there so it wouldn't make the activities as fun. although i do agree with you that if they do not have good grades and if they have to many u' s then they should not be eligible to play. therefore if they really loved sports and wanted to play in them, then they would try to raise their grade for it. so i disagree about putting and changing this to become a school policy.sincerely, student_name",3.0,3.0,3.0,3.0,3.5,3.0
AF6EA8391841,"i think my principle should required some of my friends should perform community service because they need to learn what mistake's they've done.one reason why i think my principle should required community service is, some people might not want to tutor at a elementary school because they don't like kids. it would be better for them to tutor because in the end they might have a chance to like kids and help them out. another reason is, most of them would not want to be picking up litter, but it would be good for them to learn their consequences.my last reason is, they should learn that it's not always easy in life to do what ever they want; it doesn't matter if its taking up space in their time. there are to many crazy people out in this world and we can't let them go thinking that what ever they've done is ok.in conclusion, people must learn that what their doing might not get them far in life. it could be better for them and have a chance of making a good life. that is why my principle should required community service.",3.0,3.0,3.5,3.5,3.5,3.0
E98F49492C8B,"dear principle,i think that your fist policy is the best because if kids don't bring their phones to school then well they are not be able to call for help during a emergency like if the power went out or if the teacher is gone and there is a break in or if some staff member needs medial treatment and the power is out or if school gets out and a friend ask if you can come over after school. if you chooses the other on people are still going to bring their phones to school anyway so why not let them have it at school just have rules for them not consequences.maybe if you let them more people will listen and not get in as much trouble. if people start to listen then well people won't get suspended as much. now if you choose the second policy then people will not listen and bring there phones to school and you would just be suspending kids who just brought their phone to school. you would have a lot more suspicions or detentions.if the first policy is chosen then you wouldn't have to keep nagging kids to put away their cell phones or stay all night and wait for parents to come pick up their kids cell phone.if you pick the first policy the kids will be much happier and the parents happier they don't have to go pick up their kids phone. so please pick policy one. if you pick policy one then the kids will most likely like their principle and not hate her.sincerely,student_name",3.0,3.0,3.5,3.0,3.5,3.0
7B0D23FCA29B,"nine times out of ten children will get bad habits from not adding an extracurricular activity to their schedule.causing them to be lazy and end up with bad grades. because when you add at least one or more extracurricular activity to your schedule, it can help you be more social, get ready for high school, and have a healthier schedule.first, is being more social. when getting a new activity to do at the end of the day, you will end up with other people. meeting different people is one of the ways to clear bad social habits. because of the fact that they are in the same activity as you, some of them might have the same interests. this can cause you to have new friends, this will help you work with others. working with others is a good factor when you have an extracurricular, and it's not as hard as opinions might think. working with others has a bad side to it because of this you could get annoyed, but you can get use to it by building tolerance .the second reason is, that it helps you get ready for high school. to get ready for high school you are going to need a good gpa score meaning you need a high grade if not higher. getting an extra activity can help you if not guide you to the higher gpa. sometimes the teachers will give you extra credit activities or let you finish work that you want to get done.the third and final reason is building a healthy schedule. building a healthy schedule is very important because it can effect what you do now and what you will do in the future. when you add something to your schedule it will help you be able to take hard and stressful tasks. this will help you when ever you dont have a lot of people around to help.now some people might say that it's ""too hard"",""i just dont need it"" , or "" it takes too much time"". but student will need this when they have nothing else to do or when they have bad grades and they need help. this counter argument dose not compute with what is needed.if adding an extra curricular activity to a students time, then it will give them social skills, lead them to high school, and help build a healthy schedule. these are the main things that students need to be successful.",3.5,3.0,3.5,3.5,3.5,3.0
